GEO.id2,HC01_VC03,HC01_VC27,HC01_VC74,HC01_VC85,HC01_VC86
Id2,Estimate; EMPLOYMENT STATUS - Population 16 years and over,Estimate; COMMUTING TO WORK - Workers 16 years and over,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
1075,15653,9194,6745,66681,82226
1077,7938,4904,3750,76737,96061
1079,385,200,256,27105,57065
1080,2089,930,911,49844,63397
1081,1432,815,734,50465,65400
1082,8759,5132,4455,51768,65600
1083,2444,1566,1115,65547,68089
1084,156,106,74,90625,106546
1085,34457,20982,15542,62423,77265
1086,683,127,0,-,-
1088,369,199,211,51406,58218
1089,23249,14074,11971,51735,68964
1092,973,504,445,75799,82155
1093,316,213,141,103750,135457
1094,280,111,190,21250,54306
1095,12040,7527,5266,104128,123474
1096,2108,1443,1034,77083,91384
1097,28,11,17,-,27435
1098,1047,712,556,76563,90580
1103,2021,910,1418,16720,35253
1104,18279,8974,8989,30053,48786
1105,8893,3382,4831,17569,33611
1106,12791,7554,5822,111231,150366
1107,8259,3619,3825,26772,42935
1108,21241,11566,9899,38499,52337
1109,23587,10927,9591,35191,45831
1118,11548,7043,5701,61112,74068
1119,10918,5667,4822,47439,58957
1128,2405,1471,1097,65977,86874
1129,5606,3559,2787,63895,72225
1151,6582,3676,3243,40360,48996
1199,0,0,0,-,-
1201,37251,21931,19953,47614,66779
1220,6907,4151,3768,49777,62272
1222,727,457,348,74583,88815
1223,2002,1278,1028,77857,88653
1224,201,111,124,38446,37458
1225,2691,1528,1404,61512,75573
1226,5839,3468,2970,61063,78270
1229,86,19,48,29000,31869
1230,7241,4286,3398,65214,89428
1235,2279,1497,1196,63000,78696
1236,927,590,427,57014,92254
1237,2136,1415,970,84615,91177
1238,4892,2844,2351,67708,82742
1240,4027,1917,2201,68948,108281
1242,328,251,173,81172,80038
1243,312,226,164,71979,102865
1244,98,68,62,55556,72605
1245,733,446,405,69821,95950
1247,13465,6996,6848,40928,56405
1253,686,378,365,74554,93233
1254,858,477,471,92083,139701
1255,717,403,326,68636,93702
1256,636,396,321,55375,68216
1257,1947,1095,1014,59500,95290
1258,325,178,195,57917,85610
1259,489,240,262,62727,115657
1260,322,238,131,112756,97567
1262,1028,631,557,36042,72370
1264,187,88,76,80000,135397
1266,1181,753,583,74107,102325
1267,6848,3627,2405,78068,101729
1270,702,445,342,80000,107515
1301,14950,8972,7995,48477,65614
1330,1278,913,632,74167,95297
1331,11132,6101,5403,53733,66161
1337,2166,1378,1101,66085,82371
1338,154,95,73,57750,59179
1339,1239,632,601,55313,70366
1340,1409,833,722,53125,66607
1341,1426,993,692,101023,127548
1342,1406,823,563,106146,112502
1343,46,18,25,85781,71740
1344,1243,801,602,70109,71697
1346,383,231,189,60208,82512
1347,111,76,78,52647,44103
1349,1010,635,462,61630,70211
1350,76,32,47,31458,49977
1351,1955,1218,999,82548,89834
1354,1452,1048,583,69226,79976
1355,764,433,392,70313,86263
1360,2453,1538,1214,69028,82550
1364,6379,3316,3185,43413,56094
1366,1087,603,493,65529,84122
1367,466,287,231,55469,74521
1368,1105,643,528,72813,81850
1370,3485,2030,1853,54036,80757
1373,3420,2222,1850,74022,86616
1375,3166,2334,1597,54886,83756
1376,4358,2303,2375,43750,54658
1378,669,351,338,57885,67308
1379,718,397,384,43500,66682
1420,32491,18242,14828,51412,65885
1430,4682,3146,2024,85064,100483
1431,2693,1696,1106,95833,104293
1432,6278,4522,3387,79750,95825
1434,1604,252,191,50547,87246
1436,2765,1778,1229,60156,84568
1438,550,282,229,74142,85295
1440,16687,9493,8254,48915,62384
1450,8974,5706,4101,123918,145285
1451,3582,2299,1645,143625,170165
1452,3663,2498,1682,93387,102947
1453,33135,20702,16563,57610,75305
1460,7913,5033,3440,119177,138558
1462,8878,5736,4171,97775,109817
1463,9525,6296,4346,90029,111082
1464,6507,2986,2426,67541,97408
1467,459,211,163,98036,131737
1468,3641,2491,1891,64872,82209
1469,5781,4031,2683,84489,107538
1473,6028,4167,2832,100071,113838
1474,1624,1045,715,84851,129214
1475,8471,5478,3889,64539,78168
1501,13771,8278,6642,74576,93144
1503,2594,1751,1151,97417,127925
1504,7602,5482,3438,80260,92786
1505,3634,2519,1713,97074,119858
1506,2827,1749,1421,64219,89462
1507,10760,6847,4889,93921,104931
1510,11259,7596,5586,68362,80971
1515,1728,1183,828,80234,93723
1516,6849,4889,3151,94531,103380
1518,2775,1738,1397,58438,98744
1519,5412,3718,2468,106250,132062
1520,11978,7987,5420,99674,118463
1521,2046,1294,951,78348,89316
1522,2705,1734,1239,104508,124782
1523,6603,3482,2245,104630,119085
1524,5885,3765,2597,64135,86771
1525,162,110,94,-,61632
1527,11155,7185,5330,74713,94552
1529,2548,1797,1158,90500,104300
1531,1001,622,425,84432,104877
1532,11902,7961,5278,111875,146346
1534,5116,3363,2236,89348,110860
1535,3914,2511,1818,73133,82223
1536,6218,3960,2759,105283,120602
1537,1821,976,880,74883,74711
1540,9116,6068,4323,68865,79867
1541,2896,1901,1279,128006,159929
1542,1906,1257,828,100000,105234
1543,6734,4542,2904,100962,108807
1545,28791,18495,12853,101229,126754
1550,13708,7864,6926,50202,61485
1560,3372,2268,1712,85390,116603
1561,220,133,85,-,83168
1562,9956,6026,4969,65386,72811
1564,6348,3899,2692,102500,127069
1566,4721,3018,2220,95800,120764
1568,5941,4026,2725,119115,135196
1569,11183,7328,4817,94809,100880
1570,13852,8019,6734,52107,70708
1571,9427,5778,3873,64281,87099
1581,14546,9596,6682,107604,132231
1583,6744,2757,2055,73463,100363
1585,3895,2315,1887,66317,84849
1588,7711,5053,3739,66607,84802
1590,7343,4943,3341,101315,118941
1602,20665,12722,9666,64808,84312
1603,16277,9151,7203,42259,63797
1604,29153,17436,14447,50487,66151
1605,22377,12169,10657,37703,54949
1606,16493,10141,8129,65135,80802
1607,7120,4090,3694,43500,56251
1608,2629,1095,1639,20578,27784
1609,18568,8239,7401,42903,77570
1610,19674,9443,8114,31003,42259
1611,2060,1374,877,81830,96541
1612,4062,2542,1558,95595,121484
1701,26837,17839,12587,105940,124057
1702,31529,21181,15244,52746,72228
1718,576,397,240,160750,163461
1719,4593,3099,2288,101077,134731
1720,17916,11787,8476,133075,156257
1721,13918,9868,6689,120309,136132
1730,10958,6882,5240,125208,153074
1731,1191,805,540,93276,98165
1740,3915,2714,1686,151618,164477
1741,4086,2414,1773,170703,252373
1742,15356,8173,6741,137547,193610
1745,308,211,157,123992,134930
1746,11140,7456,5171,118933,148072
1747,4814,3074,2232,101761,104914
1748,12671,8499,5614,151357,177518
1749,16420,10651,7708,83765,100058
1752,32330,22332,15529,75418,97292
1754,8476,5826,4274,95833,114034
1756,4784,3384,2064,125816,145210
1757,22540,15124,11086,75976,90904
1760,27908,19075,14157,106332,136355
1770,3314,2069,1480,170872,221325
1772,7290,4764,3246,143375,188420
1773,3942,2358,2008,153500,245881
1775,5505,3696,2627,144766,157304
1776,14153,8754,6226,170945,225197
1778,10684,7073,5044,166548,213442
1801,33778,22599,15650,84857,98876
1803,21420,13380,9572,99254,123122
1810,27553,17271,12369,143292,179237
1821,26710,17780,11211,99881,110998
1824,21275,13644,9805,115533,133704
1826,24935,16495,11185,86644,98233
1827,2707,1877,1138,138700,164085
1830,21231,13156,10148,61375,81333
1832,18271,11622,8825,64238,83263
1833,6767,4561,3265,113417,124065
1834,5540,3506,2339,95031,108251
1835,10387,7238,5182,77697,87886
1840,3975,1865,2215,20596,43260
1841,37153,21214,14854,38199,48967
1843,19856,11888,8732,46629,59554
1844,40248,26630,17671,73525,88978
1845,23963,15506,11136,105661,136687
1850,12535,7595,5421,46102,58083
1851,23678,14554,10203,52008,69216
1852,27950,16745,13830,50911,67861
1854,24416,13445,9542,40982,56810
1860,5675,3712,2683,84417,104691
1862,9060,5577,3417,93494,103848
1863,7405,4570,3888,77055,102208
1864,12669,8564,5422,124750,147682
1867,19658,13277,9063,113553,138406
1876,25274,16386,11413,94817,107527
1879,10047,7074,4378,101620,120510
1880,21965,14810,10335,93337,112430
1886,18351,12330,8244,138006,149160
1887,19141,12912,7947,118549,133893
1890,16890,10956,7928,152196,210543
1901,1605,732,916,22057,34504
1902,37156,22765,17154,42851,59903
1904,14015,9689,6345,88395,96196
1905,19508,12474,8539,57638,71858
1906,23633,14653,10210,82188,96266
1907,11716,7210,5494,105029,136524
1908,3062,1988,1597,81384,124754
1913,14112,9523,7025,78638,92614
1915,34957,21927,16408,77893,107530
1921,6466,4142,2707,155034,192799
1922,2288,1529,1050,87986,113428
