Zip_code,,POR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
13743,"WASHINGTON NAT'L,DC",194507-201512,5.2,5.6,2.1,0,0,0,0,0,0,0,0.6,2.8,16.3
12834,"DAYTONA BEACH,FL",194801-201512,0,0,0,0,0,0,0,0,0,0,0,0,0
12835,"FORT MYERS,FL",191306-201512,0,0,0,0,0,0,0,0,0,0,0,0,0
12816,"GAINESVILLE,FL",196005-201512,0,0,0,0,0,0,0,0,0,0,0,0,0
13889,"JACKSONVILLE,FL",193805-201512,0,0,0,0,0,0,0,0,0,0,0,0,0
12836,"KEY WEST,FL",194801-201512,0,0,0,0,0,0,0,0,0,0,0,0,0
12839,"MIAMI,FL",194801-201512,0,0,0,0,0,0,0,0,0,0,0,0,0
12815,"ORLANDO,FL",195206-201512,0,0,0,0,0,0,0,0,0,0,0,0,0
13899,"PENSACOLA,FL",194809-201512,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1
93805,"TALLAHASSEE,FL",194210-201512,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1
12842,"TAMPA,FL",193902-201512,0,0,0,0,0,0,0,0,0,0,0,0,0
12843,"VERO BEACH,FL",194407-201512,0,0,0,0,0,0,0,0,0,0,0,0,0
12844,"WEST PALM BEACH,FL",193812-201512,0,0,0,0,0,0,0,0,0,0,0,0,0
13873,"ATHENS,GA",194512-201512,0.8,0.7,0.5,0,0,0,0,0,0,0,0.1,0.2,2.3
13874,"ATLANTA,GA",193001-201512,0.9,0.5,0.4,0,0,0,0,0,0,0,0,0.2,2
3820,"AUGUSTA,GA",194612-201512,0.3,0.6,0,0,0,0,0,0,0,0,0,0.1,1
93842,"COLUMBUS,GA",194801-201512,0.1,0.3,0.1,0,0,0,0,0,0,0,0,0,0.5
3813,"MACON,GA",194812-201512,0.3,0.5,0.1,0,0,0,0,0,0,0,0,0,0.9
3822,"SAVANNAH,GA",194801-201512,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0.3
21504,"HILO,HI",194910-201512,0,0,0,0,0,0,0,0,0,0,0,0,0
22521,"HONOLULU,HI",194910-201512,0,0,0,0,0,0,0,0,0,0,0,0,0
22516,"KAHULUI,HI",191506-201512,0,0,0,0,0,0,0,0,0,0,0,0,0
